x-axis,1,2
second,Volt,Volt
+923.200E-03,+81.457E-03,+67.060E-03
+924.550E-03,+84.472E-03,+84.146E-03
+925.900E-03,+70.402E-03,+84.899E-03
+927.250E-03,+88.241E-03,+114.799E-03
+928.600E-03,+103.317E-03,+135.402E-03
+929.950E-03,+93.518E-03,+127.111E-03
+931.300E-03,+100.804E-03,+123.342E-03
+932.650E-03,+88.241E-03,+96.206E-03
+934.000E-03,+77.437E-03,+63.794E-03
+935.350E-03,+83.719E-03,+58.015E-03
+936.700E-03,+82.462E-03,+44.698E-03
+938.050E-03,+84.221E-03,+51.985E-03
+939.400E-03,+84.724E-03,+57.513E-03
+940.750E-03,+89.497E-03,+76.608E-03
+942.100E-03,+81.457E-03,+92.186E-03
+943.450E-03,+88.241E-03,+106.759E-03
+944.800E-03,+88.744E-03,+120.327E-03
+946.150E-03,+94.774E-03,+132.889E-03
+947.500E-03,+97.538E-03,+120.578E-03
+948.850E-03,+77.437E-03,+86.910E-03
+950.200E-03,+72.663E-03,+64.045E-03
+951.550E-03,+72.915E-03,+47.211E-03
+952.900E-03,+77.940E-03,+44.196E-03
+954.250E-03,+125.678E-03,+90.427E-03
+955.600E-03,+79.196E-03,+55.000E-03
+956.950E-03,+72.663E-03,+60.276E-03
+958.300E-03,+85.226E-03,+84.146E-03
+959.650E-03,+70.653E-03,+89.171E-03
+961.000E-03,+90.503E-03,+119.322E-03
+962.350E-03,+105.578E-03,+136.910E-03
+963.700E-03,+104.573E-03,+127.864E-03
+965.050E-03,+100.050E-03,+120.075E-03
+966.400E-03,+92.010E-03,+92.940E-03
+967.750E-03,+69.397E-03,+55.251E-03
+969.100E-03,+85.980E-03,+52.990E-03
+970.450E-03,+85.477E-03,+50.477E-03
+971.800E-03,+96.030E-03,+61.533E-03
+973.150E-03,+81.457E-03,+64.045E-03
+974.500E-03,+82.462E-03,+80.879E-03
+975.850E-03,+73.668E-03,+86.910E-03
+977.200E-03,+87.236E-03,+113.794E-03
+978.550E-03,+87.487E-03,+125.352E-03
+979.900E-03,+101.558E-03,+132.387E-03
+981.250E-03,+99.045E-03,+123.090E-03
+982.600E-03,+92.010E-03,+102.487E-03
+983.950E-03,+91.759E-03,+82.136E-03
+985.300E-03,+88.744E-03,+59.020E-03
+986.650E-03,+88.241E-03,+52.990E-03
+988.000E-03,+83.970E-03,+52.739E-03
+989.350E-03,+79.698E-03,+54.749E-03
+990.700E-03,+56.583E-03,+46.960E-03
+992.050E-03,+68.141E-03,+68.065E-03
+993.400E-03,+75.176E-03,+92.186E-03
+994.750E-03,+85.477E-03,+116.307E-03
+996.100E-03,+81.457E-03,+115.804E-03
+997.450E-03,+92.261E-03,+125.352E-03
+998.800E-03,+87.236E-03,+105.754E-03
+1.000150E+00,+76.935E-03,+82.889E-03
+1.001500E+00,+72.663E-03,+55.503E-03
+1.002850E+00,+84.221E-03,+54.497E-03
+1.004200E+00,+86.482E-03,+50.980E-03
+1.005550E+00,+65.126E-03,+49.724E-03
+1.006900E+00,+96.533E-03,+78.869E-03
+1.008250E+00,+93.518E-03,+94.698E-03
+1.009600E+00,+75.176E-03,+91.181E-03
+1.010950E+00,+92.513E-03,+123.593E-03
+1.012300E+00,+101.558E-03,+136.407E-03
+1.013650E+00,+95.025E-03,+124.347E-03
+1.015000E+00,+96.784E-03,+119.322E-03
+1.016350E+00,+88.995E-03,+94.950E-03
+1.017700E+00,+62.613E-03,+48.970E-03
+1.019050E+00,+81.457E-03,+51.985E-03
+1.020400E+00,+94.523E-03,+59.020E-03
+1.021750E+00,+95.528E-03,+61.784E-03
+1.023100E+00,+88.744E-03,+67.060E-03
+1.024450E+00,+84.472E-03,+81.382E-03
+1.025800E+00,+77.437E-03,+89.673E-03
+1.027150E+00,+89.497E-03,+113.291E-03
+1.028500E+00,+88.744E-03,+127.362E-03
+1.029850E+00,+99.045E-03,+131.131E-03
+1.031200E+00,+87.236E-03,+112.286E-03
+1.032550E+00,+77.437E-03,+83.392E-03
+1.033900E+00,+73.417E-03,+60.276E-03
+1.035250E+00,+69.397E-03,+47.965E-03
+1.036600E+00,+93.518E-03,+55.000E-03
+1.037950E+00,+97.035E-03,+60.025E-03
+1.039300E+00,+85.980E-03,+60.276E-03
+1.040650E+00,+81.457E-03,+78.367E-03
+1.042000E+00,+86.482E-03,+95.201E-03
+1.043350E+00,+82.211E-03,+104.749E-03
+1.044700E+00,+96.784E-03,+127.362E-03
+1.046050E+00,+92.261E-03,+126.859E-03
+1.047400E+00,+95.276E-03,+121.834E-03
+1.048750E+00,+97.035E-03,+111.030E-03
+1.050100E+00,+86.482E-03,+80.879E-03
+1.051450E+00,+68.141E-03,+43.945E-03
+1.052800E+00,+87.236E-03,+53.492E-03
+1.054150E+00,+89.497E-03,+52.487E-03
+1.055500E+00,+81.457E-03,+56.256E-03
+1.056850E+00,+91.256E-03,+69.070E-03
+1.058200E+00,+80.704E-03,+81.633E-03
+1.059550E+00,+65.377E-03,+87.412E-03
+1.060900E+00,+85.477E-03,+116.307E-03
+1.062250E+00,+98.794E-03,+130.879E-03
+1.063600E+00,+87.236E-03,+116.307E-03
+1.064950E+00,+78.693E-03,+96.206E-03
+1.066300E+00,+69.397E-03,+72.085E-03
+1.067650E+00,+66.884E-03,+46.709E-03
+1.069000E+00,+67.136E-03,+37.412E-03
+1.070350E+00,+98.794E-03,+61.784E-03
+1.071700E+00,+85.226E-03,+59.020E-03
